Gender,Age,title,title_orig,units_sold,Label,rating,tags,product_color,countries_shipped_to,product_url,product_id
m,30,Femmes Mode Été Lâche Sans Manches Poches Couleur Unie Maxi Dress Robe Décontractée Plus La Taille,Women's Fashion Summer Loose Sleeveless Pockets Solid Color Maxi Dress Casual Dress Plus Size,1000,0,3.46,"Summer,Plus Size,long dress,plus size dress,Dress,Women's Fashion,maxi dress,Casual,beach dress,Sleeveless dress,summer dresses,women dress,Fashion,loose dress,sleeveless",grey,25,https://www.wish.com/c/5cac5af68de7960d89e54fe0,5cac5af68de7960d89e54fe0
f,35,Été Sexy Femmes Mode Casual Lâche Tops Casual T-Shirt D'été Col En V Solide Couleur Plus La Taille À Manches Courtes Blouse,Summer Sexy Women Fashion Casual Loose Tops Casual T-Shirt Summer V-Neck Solid Color Plus Size Short Sleeve Blouse,100,1,3.31,"Summer,Plus Size,Cotton T Shirt,womens shirt,summer t-shirts,short sleeves,V-neck,T Shirts,Fashion,sexy,Casual,Women,blouse,Shorts,Sleeve,Pure Color,Women's Fashion,Pullovers,Tops",lightblue,40,https://www.wish.com/c/5ec49d527d7044ccfa3f1c04,5ec49d527d7044ccfa3f1c04
m,49,Shorts de causalité d'été de nouvelles femmes Pantalon court à cordon Pantalon court lâche,New Women's Summer Causal Shorts Drawstring Short Pants Loose Short Pants,1000,1,3.45,"Summer,Women,Shorts,pants,Loose,Short pants,drawstring,Causal",orange,38,https://www.wish.com/c/5e9da39dc737cf255eddd4bf,5e9da39dc737cf255eddd4bf
m,39,"Mode féminine sans manches col profond croix sangle spaghetti couleur unie débardeur chemisier lâche plage gilet haut et chemisier été T-shirts décontractés, plus la taille",Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,1000,0,3.32,"Summer,Vest,summer t-shirts,looseblouse,Cross,tank top,Spaghetti Strap,Sleeveless Shirt,Plus Size,topandblouse,deepneck,Spaghetti,Casual,Women Fashion,Women,blouse,Tank,Necks,Beach,Tops,beachvest,Women's Fashion,T Shirts,Fashion,sleeveless",red,43,https://www.wish.com/c/5d1db3c0e2b5cc0f74e091af,5d1db3c0e2b5cc0f74e091af
m,37,2019 Summer Women's Fashion Nouvelle robe sans manches à pois à encolure en V et à bretelles en V sans dos Mini robes casual casual top,2019 Summer Women's Fashion New Sleeveless Polka Dot V-neck Strap Mini Backless Casual Top Dresses,20000,1,3.65,"Summer,Fashion,Mini,Dress,Loose,Polkas,V-neck,Tops,Women's Fashion,black,polka dot,sleeveless,backless,Casual,Women Fashion",yellow,36,https://www.wish.com/c/5cc2ce18bc97595b6549fa14,5cc2ce18bc97595b6549fa14
m,37,Mode d'été Flare Sleeve Plus Size T-shirt hors de l'épaule mignon couleur unie haut chemise à manches longues,Summer Fashion Flare Sleeve Plus Size T-shirt Off The Shoulder Cute Solid Color Top Long Sleeve Shirt,1000,0,3.92,"Summer,Plus Size,Shirt,Sleeve,cute,Long Sleeve,flare,Tops,topsamptshirt,Women's Fashion,Clothes for women,cuteshirt,Fashion,long sleeve t shirt,solidcolorshirt,Summer Fashion,loose t-shirt,T Shirts",Black,41,https://www.wish.com/c/5c85d47641ec3b55d4d14f79,5c85d47641ec3b55d4d14f79
m,38,Nouvelle mode d'été pour femmes Robe sans manches à pois à pois et encolure en V Mini robe à bretelles sans dos Robe de soirée sans dos Robes décontractées Top Robes décontractées,New Summer Women's Fashion Sleeveless Polka Dot V-neck Dress Strap Mini Backless Party Dress Casual Top Dresses,10000,0,3.72,"Summer,fashion women,Fashion,Mini,Dresses,Tops,Polkas,V-neck,Mini dress,Women's Fashion,Party Dress,backless,party,Sexy Dress,Dress,sleeveless,polka dot,Casual,casual dress",red,34,https://www.wish.com/c/5cd3e795ebe403118bbc0f89,5cd3e795ebe403118bbc0f89
m,34,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Dentelle sans manches Crop Cops,2018 New Fashion Women's Tops Sexy Strappy Sleeveless Lace Crop Tops,100000,1,3.83,"blouse,Plus Size,Lace,lace top,Tops,Fashion,strappy,sexy,sleeveless,summer tops,Women Fashion",white,41,https://www.wish.com/c/5b07a7c6e997b33c6f9947da,5b07a7c6e997b33c6f9947da
m,34,Débardeur d'été 5 Couleurs Grandes Tailles été Femme Mode Femme Débardeur décontracté sans manches Débardeur été Sexy Découpe dos ouvert double épaisseur (S-5XL),5 Color Plus Size Summer New Women Fashion Ladies Casual Sleeveless Tops Summer Sexy Cutout Back Open Double Layer Tank Top(S-5XL),20000,0,3.82,"Summer,Fashion,tunic,Women Vest,Tank,Tops,topsamptshirt,tank top,doublelayer,Women's Fashion,backless,sexy,Ladies,sleeveless,Casual,Women",blue,43,https://www.wish.com/c/5a8f82375e2ae101c8913122,5a8f82375e2ae101c8913122
m,37,S ~ 5XL Zipper Vest Tee Nouveau Col En V Sans Manches Plus La Taille Slim Fit Débardeurs D'été Solide Couleur Casual Tops Blouses,S~5XL Zipper Vest Tee New V-neck Sleeveless Plus Size Slim Fit Tank Tops Summer Solid Color Casual Tops Blouses,1000,0,3.67,"blouse,Summer,Vest,Plus Size,Tank,zippers,Tops,Slim Fit,tank top,Women's Fashion,V-neck,topsampblouse,sleeveless,women top,slim,Casual",red,41,https://www.wish.com/c/5cf648ce373ac2069fd6317d,5cf648ce373ac2069fd6317d
m,35,Top Maillot de bain Ensembles Mode Maillots de bain Femme Bikini 2016 Sexy rembourré,Top Swimsuit Sets Fashion Swimwear Women Bikini 2016 Sexy Padded,5000,0,3.84,"Fashion,Floral print,Tops,sexy bikini,Swimwear,Swimsuit,padded,Bikini,sexy,Women,Women's Fashion,Swimming",green,69,https://www.wish.com/c/57416238fc6f7d5d698f3c9f,57416238fc6f7d5d698f3c9f
m,41,Gilet d'été pour femmes Gilet de mode couleur unie pour femmes T-shirt sans manches en coton T-shirt à lacets Hollow Sexy Slim T-shirt débardeur à débardeur,Summer Women Fashion Vest Solid Color Women Sleeveless Cotton T-shirt Lace Up Hollow Sexy Slim Tank Tops Tee,20000,0,3.6,"Summer,Vest,Fashion,Tank,Lace,Tops,slim,Women's Fashion,tank top,T Shirts,Lace Up,topsamptee,sexy,sleeveless,Women,Women Fashion,Cotton",black,41,https://www.wish.com/c/5c244b73e6a1c618296f73db,5c244b73e6a1c618296f73db
f,28,Conception de rosée Femmes Mode D'été Sexy Col En V Gilet Bouton Bretelle Spaghetti Débardeur Coton Sans Manches Débardeur Couleur Unie Camisole Casual Lâche Tops Vacances Plage Porter Plus La Taille S-5XL 5 Couleurs,Dew Design Women Summer Fashion Sexy V-Neck Vest Button Spaghetti Strap Tank Top Cotton Sleeveless Tank Top Solid Color Camisole Casual Loose Tops Holiday Beach Wear Plus Size S-5XL 5 Colors,1000,0,3.38,"Women Vest,Vest,Fashion,buttontop,camisole,Summer,Spaghetti Strap,tank top,Women's Fashion,Plus Size,Design,V-neck,sleeveless,sexy,Spaghetti,summer tops,Cotton,Tank,Tops,Casual,Cotton Vest,Women,sleevelesstshirt,Casual Tops,Holiday,Beach,button",armygreen,51,https://www.wish.com/c/5e1056784fff5f26e6f1745d,5e1056784fff5f26e6f1745d
m,27,Mode d'été Femmes À Manches Courtes U-cou Slim T-shirt Style Décontracté Coton Pull Femmes Mode Tee Plus La Taille Blouse Tops Tee,Summer Fashion Women Short Sleeve U-neck Slim T-shirt Casual Style Cotton Pullover Women Fashion Tee Plus Size Blouse Tops Tee,5000,1,3.67,"blouse,Summer,Shorts,Sleeve,fashiontee,Tops,slim,short sleeves,Pullovers,Women's Fashion,Plus Size,Summer Fashion,Cotton,Fashion,Casual,T Shirts,Women",armygreen,138,https://www.wish.com/c/5d15731024c17f6b8b9bd97a,5d15731024c17f6b8b9bd97a
m,39,Nouvelle mode pour dames Débardeurs d'été Tops Débardeurs d'été Chemises sexy dos nu Gilet d'été Tops,New Ladies Fashion Summer Tank Tops Sexy Backless Shirts Summer Vest Tops,1000,0,3.75,"Summer,Vest,Fashion,Tank,Shirt,backless top,summer shirt,topsamptshirt,tank top,Ladies,Sleeveless Shirt,backless,V-neck,solid color,sexy,summervest,Tops,Women Fashion,Ladies Fashion",black,43,https://www.wish.com/c/5c63adf7edc5d6528e8b1ca3,5c63adf7edc5d6528e8b1ca3
m,27,2018 Mode d'été Femme Camouflage décontracté Camouflage Tank Top Gilet sans manches à col O,2018 Summer Fashion Women Casual Camouflage Tank Top Sleeveless O-neck Vest,1000,0,4.15,"Summer,Vest,Fashion,Tank,Slim T-shirt,camouflage,Tops,camouflagevest,tank top,Cool T-Shirts,Women's Fashion,sleeveless tops,Women,Casual T-Shirt,Casual Tops,Military,Casual,sleeveless,t",armygreen,41,https://www.wish.com/c/5bed2a42bdf0421a30e62c6c,5bed2a42bdf0421a30e62c6c
m,31,Nouveau Femme Dentelle Crochet Bikini Maillot de bain Maillot de bain Maillot de bain Maillot de bain d'été,New Women Lace Crochet Bikini Cover Up Swimwear Bathing Suit Summer Swimwear,1000,0,4.03,"Summer,midsleevebeachblouse,summerswimsuit,womensummerswimwear,crochet,Cover,womenbeachblouse,Swimsuit,Bikini,beachblouse,Swimwear,bikinibeachcoverup,Women,women fashion dress,women bathing suit,budsilkblouse,Suits,Women's Fashion,Lace",,60,https://www.wish.com/c/5b5edbae1e222732845e655f,5b5edbae1e222732845e655f
m,33," Printemps/Été Mode Femme ""miel"" Lettre Imprimé sans manches Chemise Sexy Brodée Gilet Bodycon Tricoté Gilet Coton Veste Tenue décontractée Débardeur Décontracté "," Spring/Summer Fashion Women ""honey""Letter Print Sleeveless Shirt Sexy Embroidered Bodycon Vest Knitted Cotton Vest Casual Tank Top ",20000,0,4.29,"Women Vest,Vest,Fashion,yoga top,low cut,Women's Fashion,off shoulder,sportwear,sleeveless,sexy,Casual,sexyvest,knitted,Tank,Shirt,Tops,Slim Fit,beach wear,soildcolor,Women,Print,Lace Up,Cotton,tank top",white,43,https://www.wish.com/c/5a4f2d8f5dcd0221008b2c36,5a4f2d8f5dcd0221008b2c36
m,29,2020 nouvelle mode d'été femmes sans manches noir blanc rose festonné garniture profonde col en V dentelle gilet solide mince débardeurs Tee,2020 New Fashion Summer Women Sleeveless Black White Pink Scalloped Trim Deep V Neck Lace Vest Solid Slim Tank Tops Tee,100,1,4.25,"pink,Vest,Fashion,Lace,Summer,outweartop,slim,tank top,Women's Fashion,sleeveless tops,summerwomentop,Women,Deep V-Neck,Tank,Necks,Women Fashion,lace top,Tops,lace vest,black,blackwhitepink,scallopedtrimtop,sleeveless,white",pink,41,https://www.wish.com/c/5e5e09065b03ef0b420f333f,5e5e09065b03ef0b420f333f
m,26,4 Couleur Femmes Mode Casual Couleur Unie Tops Sans Manches Gaine Mode Été Plus La Taille Bref Pull Sans Bretelles Court Coton Tunique Top Crop Top,4 Color Women's Fashion Casual Solid Color tops Sleeveless Sheath Summer Fashion Plus Size Brief Pullover Strapless Short Cotton Tunic Top Crop Top,1000,0,4.06,"Summer,strapless,Plus Size,tunic,tunic top,Tops,Shorts,slim fit shirt,Women's Fashion,Fashion,topsamptee,women tank top,solid color,sleeveless,Pullovers,Casual,Cotton",white,54,https://www.wish.com/c/5cc0049aca0c3b3d01a87964,5cc0049aca0c3b3d01a87964
m,37,HODMEXI Mode Amour Graffiti Imprimer Robe D'été À Manches Courtes Robes De Soirée Plus La Taille Femmes Vêtements Vestidos,HODMEXI Fashion Love Graffiti Print Summer Dress Short Sleeve Party Dresses Plus Size Women Clothing Vestidos,100,0,4.06,"Summer,Plus Size,Love,plus size dress,Dress,short sleeves,Women's Fashion,Party Dress,Graffiti,uniquedres,Clothing,Bodycon Dress,casual dress,Shorts,Sleeve,summer dress,Cotton Dress,Women Clothing,print dress,Print,party,Short Sleeved,Women,Fashion",,36,https://www.wish.com/c/5c9d920da94960780239d468,5c9d920da94960780239d468
m,26,Sweet Beading Cami Débardeurs pour femmes Spaghetti Strap Summer Vest Tops,Sweet Beading Cami Tank Tops for Women Spaghetti Strap Summer Vest Tops,1000,1,4.37,"tank top women,Vest,Beading,Cotton Shirt,camisole,Women Vest,Sweets,Tops,Spaghetti Strap,Women's Fashion,Spaghetti,Cami,Summer,Bandages,Tank,Women,Cool Tees,Shirt",black,38,https://www.wish.com/c/5c9ee457c233fd74ef4c8a84,5c9ee457c233fd74ef4c8a84
f,24,Femmes d'été Sling Robes Casual Backless Dress Ladies Floral Printed Dress Swallowtail Dresses Slim Beach Dress,Summer Women Sling Dresses Casual Backless Dress Ladies Floral Printed Dress Swallowtail Dresses Slim Beach Dress,1000,0,3.81,"Summer,camisole,chiffon,Dress,slim,beach dress,Ladies,Women's Fashion,backless,printed,Floral,Robes,Beach,Casual,Women",khaki,46,https://www.wish.com/c/5dc4488112f5e91a9d4bb52e,5dc4488112f5e91a9d4bb52e
m,57,T-shirts de couleur unie Bandeau Yoga Gilet Hors Épaule Femmes Sans Bretelles Soutien-Gorge Tube Crop Top,Solid Color T-shirts Bandeau Yoga Vest Off Shoulder Women Strapless Bra Tube Crop Top,5000,0,3.44,"Vest,Fashion,Yoga,SEXY CROP TOP,girl bra,Tops,strapless,topbra,Tee,Women's Fashion,straplesstanktop,T Shirts,Casual,Bras,Women",black,22,https://www.wish.com/c/5b582d5ec4561c4f6b53feeb,5b582d5ec4561c4f6b53feeb
m,27,Femmes Mode Gilet Plus La Taille Lâche Casual Pure Couleur Dentelle Sans Manches Camisole D'été Débardeurs,Women Fashion Vest Plus Size Loose Casual Pure Color Lace Sleeveless Camisole Summer Tank Tops,10000,0,3.8,"Summer,Vest,Plus Size,Tank,Lace,Tops,Loose,beach wear,Women's Fashion,Pure Color,sleeveless,Fashion,Casual,Women Fashion,Women",yellow,45,https://www.wish.com/c/5cae1d6c836ecb39e57e9e80,5cae1d6c836ecb39e57e9e80
m,40,Imprimé floral épaule froide à volants été manches courtes chemisier fluide grande taille hauts sexy,Floral Print Cold Shoulder Ruffled Summer Short Sleeve Flowy Blouse Plus Size Sexy Tops,1000,0,4.16,"blouse,Summer,Plus Size,Floral print,ruffled,Sleeve,Tops,sexyblouse,short sleeves,Floral,Women's Fashion,Shorts,Print,sexy,Fashion",white,31,https://www.wish.com/c/5b10cf0b7cc4492c87411045,5b10cf0b7cc4492c87411045
m,33,Mode d'été femme papillon réservoir gilet sans manches col rond haut décontracté,Summer fashion female butterfly tank vest sleeveless round neck casual top,100,1,2.75,"butterflyprint,Vest,Plus Size,Necks,Tops,Spaghetti Strap,tank top,Casual,Round neck,Fashion,sleeveless tops,Casual Tops,summervest,womens vest",blue,40,https://www.wish.com/c/5eb4dcebdaa4b90940076979,5eb4dcebdaa4b90940076979
f,40,New Women Ladies Fashion Summer Skinny High Wasist Washed Short Jeans Pants,New Women Ladies Fashion Summer Skinny High Wasist Washed Short Jeans Pants,5000,1,4.06,"Women Pants,womens jeans,Shorts,Ladies Fashion,Hot pants,pants,Short pants,Women's Fashion,skinnyshort,summerpant,Fashion,Summer,Denim Shorts,solid color,sexy,Jeans,Ladies,Women Fashion,Women",navyblue,43,https://www.wish.com/c/5c80e8a150c63d28c67b8f14,5c80e8a150c63d28c67b8f14
m,42,Sweat-shirt à manches longues en coton à col rond pour femmes,Women's Cotton Sleeveless Round Neck Shirt T-Shirt Loose Fit Pattern Print Sweatshirt,100,1,3.83,"Summer,Fashion,Shirt,Necks,Loose,Round neck,Womens T Shirts,T Shirts,Print,sleeveless,Sweatshirts,Cotton,graphicprint",armygreen,43,https://www.wish.com/c/5e7adc5458a95b3323a3c6eb,5e7adc5458a95b3323a3c6eb
m,33,5 Couleur Femmes De Mode D'été Mince Sans Manches Imprimé Camouflage Robe Taille Haute À Lacets Casual Poche Mini Robes Plus La Taille S-5XL,5 Color Women's Fashion Summer Slim Sleeveless Camouflage Print Dress High Waist Lace Up Casual Pocket Mini Dresses Plus Size S-5XL,1000,0,4.16,"Summer,Plus Size,Lace,Mini,Dress,slim,camouflage,Mini dress,Pocket,high waist,Women's Fashion,Fashion,Lace Up,t,print dress,Print,sleeveless,bodycon,Casual,Women Fashion,Waist",pink,41,https://www.wish.com/c/5d2fd5a9af7a0c5b21369a05,5d2fd5a9af7a0c5b21369a05
m,34,Sexy Women Casual T-shirt rayé Long Tops Chemisier Chemisier Kaftan Beach Shirt Mini Robe,Sexy Women Casual Striped T-shirt Long Tops Blouse Kaftan Beach Shirt Mini Dress,50000,0,4.26,"blouse,Mini,Fashion,longtop,Shirt,kaftandresse,stripetee,Tops,short sleeves,Mini dress,T Shirts,Sexy Dress,Dress,Tops & Blouses,Beach,Women's Fashion,Casual,Women",black,40,https://www.wish.com/c/556fbe8595528719e004fa27,556fbe8595528719e004fa27
f,23,Mode féminine été bretelles spaghetti imprimé floral nouer devant mini robe robe sexy,Women's Summer Fashion Spaghetti Strap Floral Print Tie Front Mini Dress Sexy Dress,10,0,1.5,"Mini,spaghettistrapdresse,Floral print,Summer,womensfahsion,Spaghetti,Dress,summer dress,Print,minidressforwomen,Mini dress,spaghettishoulderstrapdre,Women's Fashion,floralprinteddre,Sexy Dress,Floral,sexy,Fashion",white,43,https://www.wish.com/c/5ea69521f5e1e65a3c70faa8,5ea69521f5e1e65a3c70faa8
m,59,NOUVEAU Red Bull Summer Mens Casual Shorts Pants Loose Cotton Movement Dry Rapidly Fitness Shorts,NEW Red Bull Summer Mens Casual Shorts Pants Loose Cotton Movement Dry Quickly Fitness Shorts,100,1,3.79,"Summer,Shorts,pants,Fitness,Short pants,runningpant,Men's Fashion,Casual,Red,Cotton",black,22,https://www.wish.com/c/5ea7e2d999ecf941204c42ee,5ea7e2d999ecf941204c42ee
m,24,Été Nouvelles Femmes Mode Let It ~ Abeille Imprimé Casual Col Rond T-shirt Graphique Mignon À Manches Courtes T-shirts En Coton,Summer New Women Fashion Let It ~ Bee Printed Casual Round Neck Graphic Tee Cute Short Sleeve Cotton T-shirts,100,0,3.53,"Summer,Shorts,Cotton,Cotton T Shirt,letter print,cute,teeshirthomme,short sleeves,Casual,Round neck,Women's Fashion,Fashion,printed,beetshirt,Women,Sleeve,T Shirts,Necks",grey,24,https://www.wish.com/c/5e702eb03aa1f42076ffabc9,5e702eb03aa1f42076ffabc9
m,44,Nouveau Mode Femmes Dames Crochet Kimono Tops Manteau Creux,New Fashion Women Ladies Crochet Kimono Tops Hollow Coat,10000,1,3.82,"Fashion,Tops & Blouses,Coat,Tops,tank top,Hollow,Jacket,Women's Fashion,kimono,crochet,Ladies,Women,Women Clothing",white,63,https://www.wish.com/c/57d3bc906cfeb9135f44ded5,57d3bc906cfeb9135f44ded5
f,50,Women Spring and Summer Fashion Soild Color Vest Off Shoulder Bandage Vest Casual Low Cut Sport Wear Ladies Bodycon Sleeveless Tank Top,Women Spring and Summer Fashion Soild Color Vest Off Shoulder Bandage Vest Casual Low Cut Sport Wear Ladies Bodycon Sleeveless Tank Top,100,0,3.28,"Summer,off shoulder top,Fashion,crop top,Spring,Vest,yoga top,Women's Fashion,tank top,sexy,Sport,summer tops,Women,fashion women,Fashion tank top,Tank,summer tank top,Tops,sexy tank top,Casual,Ladies,sleeveless,women top",armygreen,43,https://www.wish.com/c/5c136c3cb870cf4e458afee4,5c136c3cb870cf4e458afee4
f,37,Costume de sport cool pour hommes d'été Vêtements de sport Costumes de jogging décontractés Ensembles de tenues à manches courtes,Summer mens cool sport suit Sports Wear Casual Jogging Suits Short Sleeve Outfit Sets,10,0,3,"Summer,Shorts,women's jogging suits,Sleeve,shortsleeveset,Short pants,summersuitset,short sleeves,Sport,summerpant,mensjoggingsuit,Suits,Sport Suits,short sleeve shirt,Outfits,men's suits,Casual",green,34,https://www.wish.com/c/5e9a74e447f7d92c8db8d14b,5e9a74e447f7d92c8db8d14b
m,40,Fashion Femmes Combinaisons Salopette Bohemia Maxi Robe Longue Femmes Robe Longue Imprimée Robe Femme Rose Boho Beach Shorts,Fashion Women Jumpsuits Slit Bohemia Maxi Long Dress Womens Printed Dress Rose Boho Beach Shorts,1000,0,4.03,"bohemia,sleeveless,printeddre,Rose,long dress,Vintage,Dress,Women's Fashion,Beach,boho,Shorts,midcalfdre,vestido,jumpsuit,maxi dress,printed,Vintage dress,Fashion,Women",red & blue,32,https://www.wish.com/c/5af6bc9c13927d50370db58a,5af6bc9c13927d50370db58a
m,30,Robe d'été imprimée à fleurs à manches longues à col en V et à manches longues pour femmes,Plus Size Women's Fashion Loose Casual V neck long sleeve Floral print summer dress,10000,0,3.18,"Summer,Plus Size,Floral print,Lace,Sleeve,Long Sleeve,Dress,Loose,V-neck,Floral,Women's Fashion,Fashion,Floral dress,summer dress,Print,Casual,Necks",white,24,https://www.wish.com/c/5d1573a55a16864c5de706ab,5d1573a55a16864c5de706ab
f,56,"Summer Fashion New Women Letter Funny O-neck T-shirt "" I Only Look Up To You "" Love T-shirt / "" Don't Flatter Yourself "" Graphic Tee / March T-shirt","Summer Fashion New Women Letter Funny O-neck T-shirt "" I Only Look Up To You "" Love T-shirt / "" Don't Flatter Yourself "" Graphic Tee / March T-shirt",100,0,3.8,"Summer,Plus Size,Love,Graphic T-Shirt,Funny,summer t-shirts,short sleeves,T Shirts,Funny T Shirt,Women's Fashion,Fashion,Women",black,45,https://www.wish.com/c/5c9212fc8de79667e3c7ca59,5c9212fc8de79667e3c7ca59
m,20,Femmes Mode D'été Col En V Camisole Gilet Couleur Unie Tops Sans Manches T-shirt Lâche Casual Plus La Taille Débardeurs,Women Fashion Summer V Neck Camisole Vest Solid Color Tops Sleeveless T-shirt Loose Casual Plus Size Tank Tops,100,0,3.43,"Summer,Vest,Plus Size,Tank,Necks,Tops,Loose,Women's Fashion,tank top,T Shirts,Fashion,V-neck,solid color,sleeveless,women top,Casual,Women",white,34,https://www.wish.com/c/5ea2877224b9643185e52b58,5ea2877224b9643185e52b58
f,31,Mode féminine Maillots de bain Deux pièces Split Bikini Set Summer Printed Beach Bathing Swimsuits,Women Fashion Swimwear Two Pieces Split Bikini Set Summer Printed Beach Bathing Swimsuits,1000,0,4.19,"Summer,sexy bathing suit,Bikinis Set,splitbikiniset,Swimwear,Swimsuit,Bikini,Fashion,Two Pieces,printed,Women's Fashion,Women,Beach,splits",blue,40,https://www.wish.com/c/5d806ae97c339c307264cf76,5d806ae97c339c307264cf76
